id,term,def
,"bogon filter","Any device, software or hardware, that limits or suppresses the flow and/or emission of bogons. [[i;;]Engineering hacked a bogon filter between the Cray and the VAXen, and now we're getting fewer dropped packets.] See also [[bu;#fff;;jargon]bogosity], [[bu;#fff;;jargon]bogus]."
,"bogon flux","A measure of a supposed field of [[bu;#fff;;jargon]bogosity] emitted by a speaker, measured by a [[bu;#fff;;jargon]bogometer]; as a speaker starts to wander into increasing bogosity a listener might say [[i;;]Warning, warning, bogon flux is rising]. See [[bu;#fff;;jargon]quantum bogodynamics]."
,bogosity,"1. [orig. CMU, now very common] The degree to which something is [[bu;#fff;;jargon]bogus]. Bogosity is measured with a [[bu;#fff;;jargon]bogometer]; in a seminar, when a speaker says something bogus, a listener might raise his hand and say [[i;;]My bogometer just triggered]. More extremely, [[i;;]You just pinned my bogometer] means you just said or did something so outrageously bogus that it is off the scale, pinning the bogometer needle at the highest possible reading (one might also say [[i;;]You just redlined my bogometer]). The agreed-upon unit of bogosity is the [[bu;#fff;;jargon]microLenat]. 2. The potential field generated by a [[bu;#fff;;jargon]bogon flux]; see [[bu;#fff;;jargon]quantum bogodynamics]. See also [[bu;#fff;;jargon]bogon flux], [[bu;#fff;;jargon]bogon filter], [[bu;#fff;;jargon]bogus]."
,bogotify,"To make or become bogus. A program that has been changed so many times as to become completely disorganized has become bogotified. If you tighten a nut too hard and strip the threads on the bolt, the bolt has become bogotified and you had better not use it any more. This coinage led to the notional [[b;#fff;]autobogotiphobia] defined as ‘the fear of becoming bogotified’; but is not clear that the latter has ever been ‘live’ jargon rather than a self-conscious joke in jargon about jargon. See also [[bu;#fff;;jargon]bogosity], [[bu;#fff;;jargon]bogus]."
,"bogue out","To become bogus, suddenly and unexpectedly. [[i;;]His talk was relatively sane until somebody asked him a trick question; then he bogued out and did nothing but flame afterwards.] See also [[bu;#fff;;jargon]bogosity], [[bu;#fff;;jargon]bogus]."
,bogus,"1. Non-functional. [[i;;]Your patches are bogus.] 2. Useless. [[i;;]OPCON is a bogus program.] 3. False. [[i;;]Your arguments are bogus.] 4. Incorrect. [[i;;]That algorithm is bogus.] 5. Unbelievable. [[i;;]You claim to have solved the halting problem for Turing Machines? That's totally bogus.] 6. Silly. [[i;;]Stop writing those bogus sagas.]Astrology is bogus. So is a bolt that is obviously about to break. So is someone who makes blatantly false claims to have solved a scientific problem. (This word seems to have some, but not all, of the connotations of [[bu;#fff;;jargon]random] — mostly the negative ones.)It is claimed that [[b;#fff;]bogus] was originally used in the hackish sense at Princeton in the late 1960s. It was spread to CMU and Yale by Michael Shamos, a migratory Princeton alumnus. A glossary of bogus words was compiled at Yale when the word was first popularized there about 1975-76. These coinages spread into hackerdom from CMU and MIT. Most of them remained wordplay objects rather than actual vocabulary items or live metaphors. Examples: [[b;#fff;]amboguous] (having multiple bogus interpretations); [[b;#fff;]bogotissimo] (in a gloriously bogus manner); [[b;#fff;]bogotophile] (one who is pathologically fascinated by the bogus); [[b;#fff;]paleobogology] (the study of primeval bogosity).Some bogowords, however, obtained sufficient live currency to be listed elsewhere in this lexicon; see [[bu;#fff;;jargon]bogometer], [[bu;#fff;;jargon]bogon], [[bu;#fff;;jargon]bogotify], and [[bu;#fff;;jargon]quantum bogodynamics] and the related but unlisted [[bu;#fff;;jargon]Dr. Fred Mbogo].By the early 1980s ‘bogus’ was also current in something like hacker usage sense in West Coast teen slang, and it had gone mainstream by 1985. A correspondent from Cambridge reports, by contrast, that these uses of [[b;#fff;]bogus] grate on British nerves; in Britain the word means, rather specifically, ‘counterfeit’, as in [[i;;]a bogus 10-pound note]. According to Merriam-Webster, the word dates back to 1825 and originally referred to a counterfeiting machine."
,"Bohr bug","[from quantum physics] A repeatable [[bu;#fff;;jargon]bug]; one that manifests reliably under a possibly unknown but well-defined set of conditions. Antonym of [[bu;#fff;;jargon]heisenbug]; see also [[bu;#fff;;jargon]mandelbug], [[bu;#fff;;jargon]schroedinbug]."
,boink,"1. [Usenet: variously ascribed to the TV series Cheers, Moonlighting, and Soap][[b;#fff;]v.] To have sex with; compare [[bu;#fff;;jargon]bounce], sense 2. (This is mainstream slang.) In Commonwealth hackish the variant ‘bonk’ is more common. 2. [[b;#fff;]n.] After the original Peter Korn ‘Boinkon’ [[bu;#fff;;jargon]Usenet] parties, used for almost any net social gathering, e.g., Miniboink, a small boink held by Nancy Gillett in 1988; Minniboink, a Boinkcon in Minnesota in 1989; Humpdayboinks, Wednesday get-togethers held in the San Francisco Bay Area. Compare [[bu;#fff;;jargon]@-party]. 3. Var of [[b;#fff;]bonk]; see [[bu;#fff;;jargon]bonk/oif]."
,bomb,"1. [[b;#fff;]v.] General synonym for [[bu;#fff;;jargon]crash] (sense 1) except that it is not used as a noun; esp. used of software or OS failures. [[i;;]Don't run Empire with less than 32K stack, it'll bomb.] 2. [[b;#fff;]n.,v.] Atari ST and Macintosh equivalents of a Unix [[b;#fff;]panic] or Amiga [[bu;#fff;;jargon]guru meditation], in which icons of little black-powder bombs or mushroom clouds are displayed, indicating that the system has died. On the Mac, this may be accompanied by a decimal (or occasionally hexadecimal) number indicating what went wrong, similar to the Amiga [[bu;#fff;;jargon]guru meditation] number. [[bu;#fff;;jargon]MS-DOS] machines tend to get [[bu;#fff;;jargon]locked up] in this situation."
,"bondage-and-discipline language","A language (such as [[bu;#fff;;jargon]Pascal], Ada, APL, or Prolog) that, though ostensibly general-purpose, is designed so as to enforce an author's theory of ‘right programming’ even though said theory is demonstrably inadequate for systems hacking or even vanilla general-purpose programming. Often abbreviated ‘B&D’; thus, one may speak of things [[i;;]having the B&D nature]. See [[bu;#fff;;jargon]Pascal]; oppose [[bu;#fff;;jargon]languages of choice]."
,bonk/oif,"In the U.S. [[bu;#fff;;jargon]MUD] community, it has become traditional to express pique or censure by [[b;#fff;]bonking] the offending person. Convention holds that one should acknowledge a bonk by saying [[i;;]oif!] and there is a myth to the effect that failing to do so upsets the cosmic bonk/oif balance, causing much trouble in the universe. Some MUDs have implemented special commands for bonking and oifing. Note: in parts of the U.K. ‘bonk’ is a sexually loaded slang term; care is advised in transatlantic conversations (see [[bu;#fff;;jargon]boink]). Commonwealth hackers report a similar convention involving the ‘fish/bang’ balance. See also [[bu;#fff;;jargon]talk mode]."
,"book titles","There is a tradition in hackerdom of informally tagging important textbooks and standards documents with the dominant color of their covers or with some other conspicuous feature of the cover. Many of these are described in this lexicon under their own entries. See [[bu;#fff;;jargon]Aluminum Book], [[bu;#fff;;jargon]Camel Book], [[bu;#fff;;jargon]Cinderella Book], [[bu;#fff;;jargon]daemon book], [[bu;#fff;;jargon]Dragon Book], [[bu;#fff;;jargon]Orange Book], [[bu;#fff;;jargon]Purple Book], [[bu;#fff;;jargon]Wizard Book], and [[bu;#fff;;jargon]bible]; see also [[bu;#fff;;jargon]rainbow series]. Since about 1993 this tradition has gotten a boost from the popular O'Reilly and Associates line of technical books, which usually feature some kind of exotic animal on the cover and are often called by the name of that animal."
,boot,"[techspeak; from ‘by one's bootstraps’] To load and initialize the operating system on a machine. This usage is no longer jargon (having passed into techspeak) but has given rise to some derivatives that are still jargon.The derivative [[b;#fff;]reboot] implies that the machine hasn't been down for long, or that the boot is a [[bu;#fff;;jargon]bounce] (sense 4) intended to clear some state of [[bu;#fff;;jargon]wedgitude]. This is sometimes used of human thought processes, as in the following exchange: [[i;;]You've lost me.] [[i;;]OK, reboot. Here's the theory....]This term is also found in the variants [[b;#fff;]cold boot] (from power-off condition) and [[b;#fff;]warm boot] (with the CPU and all devices already powered up, as after a hardware reset or software crash).Another variant: [[b;#fff;]soft boot], reinitialization of only part of a system, under control of other software still running: [[i;;]If you're running the mess-dos emulator, control-alt-insert will cause a soft-boot of the emulator, while leaving the rest of the system running.]Opposed to this there is [[b;#fff;]hard boot], which connotes hostility towards or frustration with the machine being booted: [[i;;]I'll have to hard-boot this losing Sun.] [[i;;]I recommend booting it hard.] One often hard-boots by performing a [[bu;#fff;;jargon]power cycle].Historical note: this term derives from [[b;#fff;]bootstrap loader], a short program that was read in from cards or paper tape, or toggled in from the front panel switches. This program was always very short (great efforts were expended on making it short in order to minimize the labor and chance of error involved in toggling it in), but was just smart enough to read in a slightly more complex program (usually from a card or paper tape reader), to which it handed control; this program in turn was smart enough to read the application or operating system from a magnetic tape drive or disk drive. Thus, in successive steps, the computer ‘pulled itself up by its bootstraps’ to a useful operating state. Nowadays the bootstrap is usually found in ROM or EPROM, and reads the first stage in from a fixed location on the disk, called the ‘boot block’. When this program gains control, it is powerful enough to load the actual OS and hand control over to it."
,Borg,"In Star Trek: The Next Generation the Borg is a species of cyborg that ruthlessly seeks to incorporate all sentient life into itself; their slogan is [[i;;]You will be assimilated. Resistance is futile.] In hacker parlance, the Borg is usually [[bu;#fff;;jargon]Microsoft], which is thought to be trying just as ruthlessly to assimilate all computers and the entire Internet to itself (there is a widely circulated image of Bill Gates as a Borg). Being forced to use Windows or NT is often referred to as being [[i;;]Borged]. Interestingly, the [[bu;#fff;;jargon]Halloween Documents] reveal that this jargon is live within Microsoft itself. See also [[bu;#fff;;jargon]Evil Empire], [[bu;#fff;;jargon]Internet Exploiter].Other companies, notably Intel and UUNet, have also occasionally been equated to the Borg. In IETF circles, where direct pressure from Microsoft is not a daily reality, the Borg is sometimes Cisco. This usage commemorates their tendency to pay any price to hire talent away from their competitors. In fact, at the Spring 1997 IETF, a large number of ex-Cisco employees, all former members of Routing Geeks, showed up with t-shirts printed with [[i;;]Recovering Borg]."
,borken,"(also [[b;#fff;]borked]) Common deliberate typo for ‘broken’."
,bot,"[common on IRC, MUD and among gamers; from [[i;;]robot]] 1. An [[bu;#fff;;jargon]IRC] or [[bu;#fff;;jargon]MUD] user who is actually a program. On IRC, typically the robot provides some useful service. Examples are NickServ, which tries to prevent random users from adopting [[bu;#fff;;jargon]nick]s already claimed by others, and MsgServ, which allows one to send asynchronous messages to be delivered when the recipient signs on. Also common are ‘annoybots’, such as KissServ, which perform no useful function except to send cute messages to other people. Service bots are less common on MUDs; but some others, such as the ‘Julia’ bot active in 1990--91, have been remarkably impressive Turing-test experiments, able to pass as human for as long as ten or fifteen minutes of conversation. 2. An AI-controlled player in a computer game (especially a first-person shooter such as Quake) which, unlike ordinary monsters, operates like a human-controlled player, with access to a player's weapons and abilities. An example can be found at http://www.telefragged.com/thefatal/. 3. Term used, though less commonly, for a web [[bu;#fff;;jargon]spider]. The file for controlling spider behavior on your site is officially the [[i;;]Robots Exclusion File] and its URL is [[i;;]http://<somehost>/robots.txt])Note that bots in all senses were ‘robots’ when the terms first appeared in the early 1990s, but the shortened form is now habitual."
,"bottom feeder","1. An Internet user that leeches off ISPs — the sort you can never provide good enough services for, always complains about the price, no matter how low it may be, and will bolt off to another service the moment there is even the slimmest price difference. While most bottom feeders infest free or almost free services such as AOL, MSN, and Hotmail, too many flock to whomever happens to be the cheapest regional ISP at the time. Bottom feeders are often the classic problem user, known for unleashing spam, flamage, and other breaches of [[bu;#fff;;jargon]netiquette]. 2. Syn. for [[bu;#fff;;jargon]slopsucker], derived from the fishermen's and naturalists' term for finny creatures who subsist on the primordial ooze. (This sense is older.)"
,bottom-post,"In a news or mail reply, to put the response to a news or email message after the quoted content from the parent message. This is correct form, and until around 2000 was so universal on the Internet that neither the term ‘bottom-post’ nor its antonym [[bu;#fff;;jargon]top-post] existed. Hackers consider that the best practice is actually to excerpt only the relevent portions of the parent message, then intersperse the poster's response in such a way that each section of response appears directly after the excerpt it applies to. This reduces message bulk, keeps thread content in a logical order, and facilitates reading."
,"bottom-up implementation","Hackish opposite of the techspeak term [[b;#fff;]top-down design]. It has been received wisdom in most programming cultures that it is best to design from higher levels of abstraction down to lower, specifying sequences of action in increasing detail until you get to actual code. Hackers often find (especially in exploratory designs that cannot be closely specified in advance) that it works best to [[b;#fff;]build] things in the opposite order, by writing and testing a clean set of primitive operations and then knitting them together. Naively applied, this leads to hacked-together bottom-up implementations; a more sophisticated response is [[b;#fff;]middle-out implementation], in which scratch code within primitives at the mid-level of the system is gradually replaced with a more polished version of the lowest level at the same time the structure above the midlevel is being built."
,bounce,"1. [common; perhaps by analogy to a bouncing check] An electronic mail message that is undeliverable and returns an error notification to the sender is said to [[b;#fff;]bounce]. See also [[bu;#fff;;jargon]bounce message]. 2. To engage in sexual intercourse; prob.: from the expression ‘bouncing the mattress’, but influenced by Roo's psychosexually loaded [[i;;]Try bouncing me, Tigger!] from the Winnie-the-Pooh books. Compare [[bu;#fff;;jargon]boink]. 3. To casually reboot a system in order to clear up a transient problem (possibly editing a configuration file in the process, if it is one that is only re-read at boot time). Reported primarily among [[bu;#fff;;jargon]VMS] and [[bu;#fff;;jargon]Unix] users. 4. [VM/CMS programmers] [[b;#fff;]Automatic] warm-start of a machine after an error. [[i;;]I logged on this morning and found it had bounced 7 times during the night] 6. [IBM] To [[bu;#fff;;jargon]power cycle] a peripheral in order to reset it."
,"bounce message","[common] Notification message returned to sender by a site unable to relay [[bu;#fff;;jargon]email] to the intended Internet address recipient or the next link in a [[bu;#fff;;jargon]bang path] (see [[bu;#fff;;jargon]bounce], sense 1). Reasons might include a nonexistent or misspelled username or a [[bu;#fff;;jargon]down] relay site. Bounce messages can themselves fail, with occasionally ugly results; see [[bu;#fff;;jargon]sorcerer's apprentice mode] and [[bu;#fff;;jargon]software laser]. The terms [[b;#fff;]bounce mail] and [[b;#fff;]barfmail] are also common."
,boustrophedon,"[from a Greek word for turning like an ox while plowing] An ancient method of writing using alternate left-to-right and right-to-left lines. This term is actually philologists' techspeak and typesetters' jargon. Erudite hackers use it for an optimization performed by some computer typesetting software and moving-head printers. The adverbial form ‘boustrophedonically’ is also found (hackers purely love constructions like this)."
,box,"A computer; esp. in the construction [[b;#fff;]foo box] where [[b;#fff;]foo] is some functional qualifier, like [[b;#fff;]graphics], or the name of an OS (thus, [[b;#fff;]Unix box], [[b;#fff;]Windows box], etc.) [[i;;]We preprocess the data on Unix boxes before handing it up to the mainframe.]"
,"boxed comments","Comments (explanatory notes attached to program instructions) that occupy several lines by themselves; so called because in assembler and C code they are often surrounded by a box in a style something like this: Common variants of this style omit the asterisks in column 2 or add a matching row of asterisks closing the right side of the box. The sparest variant omits all but the comment delimiters themselves; the ‘box’ is implied. Oppose [[bu;#fff;;jargon]winged comments]."
,boxen,"[very common; by analogy with [[bu;#fff;;jargon]VAXen]] Fanciful plural of [[bu;#fff;;jargon]box] often encountered in the phrase ‘Unix boxen’, used to describe commodity [[bu;#fff;;jargon]Unix] hardware. The connotation is that any two Unix boxen are interchangeable."
,boxology,"Syn. [[bu;#fff;;jargon]ASCII art]. This term implies a more restricted domain, that of box-and-arrow drawings. [[i;;]His report has a lot of boxology in it.] Compare [[bu;#fff;;jargon]macrology]."
,bozotic,"[from the name of a TV clown even more losing than Ronald McDonald] Resembling or having the quality of a bozo; that is, clownish, ludicrously wrong, unintentionally humorous. Compare [[bu;#fff;;jargon]wonky], [[bu;#fff;;jargon]demented]. Note that the noun ‘bozo’ occurs in slang, but the mainstream adjectival form would be ‘bozo-like’ or (in New England) ‘bozoish’."
,"brain dump","[common] The act of telling someone everything one knows about a particular topic or project. Typically used when someone is going to let a new party maintain a piece of code. Conceptually analogous to an operating system [[bu;#fff;;jargon]core dump] in that it saves a lot of useful [[bu;#fff;;jargon]state] before an exit. [[i;;]You'll have to give me a brain dump on FOOBAR before you start your new job at HackerCorp.] See [[bu;#fff;;jargon]core dump] (sense 4). At Sun, this is also known as [[b;#fff;]TOI] (transfer of information)."
,"brain fart","The actual result of a [[bu;#fff;;jargon]braino], as opposed to the mental glitch that is the braino itself. E.g., typing dir on a Unix box after a session with DOS."
,brain-damaged,"1. [common; generalization of [[i;;]Honeywell Brain Damage] (HBD), a theoretical disease invented to explain certain utter cretinisms in Honeywell [[bu;#fff;;jargon]Multics]] [[b;#fff;]adj.] Obviously wrong; [[bu;#fff;;jargon]cretinous]; [[bu;#fff;;jargon]demented]. There is an implication that the person responsible must have suffered brain damage, because he should have known better. Calling something brain-damaged is really bad; it also implies it is unusable, and that its failure to work is due to poor design rather than some accident. [[i;;]Only six monocase characters per file name? Now that's brain-damaged!] 2. [esp. in the Mac world] May refer to free demonstration software that has been deliberately crippled in some way so as not to compete with the product it is intended to sell. Syn. [[bu;#fff;;jargon]crippleware]."
,brain-dead,"[common] Brain-damaged in the extreme. It tends to imply terminal design failure rather than malfunction or simple stupidity. [[i;;]This comm program doesn't know how to send a break — how brain-dead!]"
,braino,"Syn. for [[bu;#fff;;jargon]thinko]. See also [[bu;#fff;;jargon]brain fart]."
,brainwidth,"[Great Britain] Analagous to [[bu;#fff;;jargon]bandwidth] but used strictly for human capacity to process information and especially to multitask. [[i;;]Writing email is taking up most of my brainwidth right now, I can't look at that Flash animation.]"
,"bread crumbs","1. Debugging statements inserted into a program that emit output or log indicators of the program's [[bu;#fff;;jargon]state] to a file so you can see where it dies or pin down the cause of surprising behavior. The term is probably a reference to the Hansel and Gretel story from the Brothers Grimm or the older French folktale of Thumbelina; in several variants of these, a character leaves a trail of bread crumbs so as not to get lost in the woods. 2. In user-interface design, any feature that allows some tracking of where you've been, like coloring visited links purple rather than blue in Netscape (also called [[b;#fff;]footprinting])."
,break,"1. [[b;#fff;]vt.] To cause to be [[bu;#fff;;jargon]broken] (in any sense). [[i;;]Your latest patch to the editor broke the paragraph commands.] 2. [[b;#fff;]v.] (of a program) To stop temporarily, so that it may debugged. The place where it stops is a [[b;#fff;]breakpoint]. 3. [techspeak] [[b;#fff;]vi.] To send an RS-232 break (two character widths of line high) over a serial comm line. 4. [Unix] [[b;#fff;]vi.] To strike whatever key currently causes the tty driver to send SIGINT to the current process. Normally, break (sense 3), delete or [[bu;#fff;;jargon]control-C] does this. 5. [[b;#fff;]break break] may be said to interrupt a conversation (this is an example of verb doubling). This usage comes from radio communications, which in turn probably came from landline telegraph/teleprinter usage, as badly abused in the Citizen's Band craze of the early 1980s."
,"break-even point","In the process of implementing a new computer language, the point at which the language is sufficiently effective that one can implement the language in itself. That is, for a new language called, hypothetically, FOOGOL, one has reached break-even when one can write a demonstration compiler for FOOGOL in FOOGOL, discard the original implementation language, and thereafter use working versions of FOOGOL to develop newer ones. This is an important milestone; see [[bu;#fff;;jargon]MFTL].Since this entry was first written, several correspondents have reported that there actually was a compiler for a tiny Algol-like language called Foogol floating around on various [[bu;#fff;;jargon]VAXen] in the early and mid-1980s. A FOOGOL implementation is available at the Retrocomputing Museum http://www.catb.org/retro/."
,"breath-of-life packet","[XEROX PARC] An Ethernet packet that contains bootstrap (see [[bu;#fff;;jargon]boot]) code, periodically sent out from a working computer to infuse the ‘breath of life’ into any computer on the network that has happened to crash. Machines depending on such packets have sufficient hardware or firmware code to wait for (or request) such a packet during the reboot process. See also [[bu;#fff;;jargon]dickless workstation].The notional [[b;#fff;]kiss-of-death packet], with a function complementary to that of a breath-of-life packet, is recommended for dealing with hosts that consume too many network resources. Though ‘kiss-of-death packet’ is usually used in jest, there is at least one documented instance of an Internet subnet with limited address-table slots in a gateway machine in which such packets were routinely used to compete for slots, rather like Christmas shoppers competing for scarce parking spaces."
,breedle,"See [[bu;#fff;;jargon]feep]."
,"Breidbart Index","A measurement of the severity of spam invented by long-time hacker Seth Breidbart, used for programming cancelbots. The Breidbart Index takes into account the fact that excessive multi-posting [[bu;#fff;;jargon]EMP] is worse than excessive cross-posting [[bu;#fff;;jargon]ECP]. The Breidbart Index is computed as follows: For each article in a spam, take the square-root of the number of newsgroups to which the article is posted. The Breidbart Index is the sum of the square roots of all of the posts in the spam. For example, one article posted to nine newsgroups and again to sixteen would have BI = sqrt(9) + sqrt(16) = 7. It is generally agreed that a spam is cancelable if the Breidbart Index exceeds 20.The Breidbart Index accumulates over a 45-day window. Ten articles yesterday and ten articles today and ten articles tomorrow add up to a 30-article spam. Spam fighters will often reset the count if you can convince them that the spam was accidental and/or you have seen the error of your ways and won't repeat it. Breidbart Index can accumulate over multiple authors. For example, the [[i;;]Make Money Fast] pyramid scheme exceeded a BI of 20 a long time ago, and is now considered [[i;;]cancel on sight]."
,brick,"1. A piece of equipment that has been programmed or configured into a [[bu;#fff;;jargon]hung], [[bu;#fff;;jargon]wedged],unusable state. Especially used to describe what happens to devices like routers or PDAs that run from firmware when the firmware image is damaged or its settings are somehow patched to impossible values. This term usually implies irreversibility, but equipment can sometimes be unbricked by performing a hard reset or some other drastic operation. Sometimes verbed: [[i;;]Yeah, I bricked the router because I forgot about adding in the new access-list.].2. An outboard power transformer of the kind associated with laptops, modems, routers and other small computing appliances, especially one of the modern type with cords on both ends, as opposed to the older and obnoxious type that plug directly into wall or barrier strip."
,bricktext,"[Usenet: common] Text which is carefully composed to be right-justified (and sometimes to have a deliberate gutter at mid-page) without use of extra spaces, just through careful word-length choices. A minor art form. The best examples have something of the quality of imagist poetry."
,"bring X to its knees","[common] To present a machine, operating system, piece of software, or algorithm with a load so extreme or [[bu;#fff;;jargon]pathological] that it grinds to a halt.: [[i;;]To bring a MicroVAX to its knees, try twenty users running vi — or four running EMACS.] Compare [[bu;#fff;;jargon]hog]."
,brittle,"Said of software that is functional but easily broken by changes in operating environment or configuration, or by any minor tweak to the software itself. Also, any system that responds inappropriately and disastrously to abnormal but expected external stimuli; e.g., a file system that is usually totally scrambled by a power failure is said to be brittle. This term is often used to describe the results of a research effort that were never intended to be robust, but it can be applied to commercial software, which (due to closed-source development) displays the quality far more often than it ought to. Oppose [[bu;#fff;;jargon]robust]."
,"broadcast storm","[common] An incorrect packet broadcast on a network that causes most hosts to respond all at once, typically with wrong answers that start the process over again. See [[bu;#fff;;jargon]network meltdown]; compare [[bu;#fff;;jargon]mail storm]."
,broken,"1. Not working according to design (of programs). This is the mainstream sense. 2. Improperly designed, This sense carries a more or less disparaging implication that the designer should have known better, while sense 1 doesn't necessarily assign blame. Which of senses 1 or 2 is intended is conveyed by context and nonverbal cues. 3. Behaving strangely; especially (when used of people) exhibiting extreme depression."
,"broken arrow","[IBM] The error code displayed on line 25 of a 3270 terminal (or a PC emulating a 3270) for various kinds of protocol violations and [[i;;]unexpected] error conditions (including connection to a [[bu;#fff;;jargon]down] computer). On a PC, simulated with ‘->/_’, with the two center characters overstruck.Note: to appreciate this term fully, it helps to know that [[i;;]broken arrow] is also military jargon for an accident involving nuclear weapons...."
,"broken-ring network","Pejorative hackerism for [[i;;]token-ring network], an early and very slow LAN technology from IBM that lost the standards war to Ethernet. Though token-ring survives in a few niche markets (such as factory automation) that put a high premium on resistance to electrical noise, the term is now (2000) primarily historical."
,BrokenWindows,"Abusive hackerism for the [[bu;#fff;;jargon]crufty] and [[bu;#fff;;jargon]elephantine] [[bu;#fff;;jargon]X] environment on Sun machines; properly called ‘OpenWindows’."
,broket,"[rare; by analogy with ‘bracket’: a ‘broken bracket’] Either of the characters < and >, when used as paired enclosing delimiters. This word originated as a contraction of the phrase ‘broken bracket’, that is, a bracket that is bent in the middle. (At MIT, and apparently in the [[bu;#fff;;jargon]Real World] as well, these are usually called [[bu;#fff;;jargon]angle brackets].)"
,"Brooks's Law","[[i;;]Adding manpower to a late software project makes it later] — a result of the fact that the expected advantage from splitting development work among N programmers is O(N) (that is, proportional to N), but the complexity and communications cost associated with coordinating and then merging their work is O(N^2) (that is, proportional to the square of N). The quote is from Fred Brooks, a manager of IBM's OS/360 project and author of The Mythical Man-Month (Addison-Wesley, 1975, ISBN 0-201-00650-2), an excellent early book on software engineering. The myth in question has been most tersely expressed as [[i;;]Programmer time is fungible] and Brooks established conclusively that it is not. Hackers have never forgotten his advice (though it's not the whole story; see [[bu;#fff;;jargon]bazaar]); too often, [[bu;#fff;;jargon]management] still does. See also [[bu;#fff;;jargon]creationism], [[bu;#fff;;jargon]second-system effect], [[bu;#fff;;jargon]optimism]."
,"brown-paper-bag bug","A bug in a public software release that is so embarrassing that the author notionally wears a brown paper bag over his head for a while so he won't be recognized on the net. Entered popular usage after the early-1999 release of the first Linux 2.2, which had one. The phrase was used in Linus Torvalds's apology posting."
,browser,"A program specifically designed to help users view and navigate hypertext, on-line documentation, or a database. While this general sense has been present in jargon for a long time, the proliferation of browsers for the World Wide Web after 1992 has made it much more popular and provided a central or default techspeak meaning of the word previously lacking in hacker usage. Nowadays, if someone mentions using a ‘browser’ without qualification, one may assume it is a Web browser."
,BRS,"Syn. [[bu;#fff;;jargon]Big Red Switch]. This abbreviation is fairly common on-line."
,"brute force","Describes a primitive programming style, one in which the programmer relies on the computer's processing power instead of using his or her own intelligence to simplify the problem, often ignoring problems of scale and applying naive methods suited to small problems directly to large ones. The term can also be used in reference to programming style: brute-force programs are written in a heavyhanded, tedious way, full of repetition and devoid of any elegance or useful abstraction (see also [[bu;#fff;;jargon]brute force and ignorance]).The [[bu;#fff;;jargon]canonical] example of a brute-force algorithm is associated with the ‘traveling salesman problem’ (TSP), a classical [[bu;#fff;;jargon]NP-]hard problem: Suppose a person is in, say, Boston, and wishes to drive to N other cities. In what order should the cities be visited in order to minimize the distance travelled? The brute-force method is to simply generate all possible routes and compare the distances; while guaranteed to work and simple to implement, this algorithm is clearly very stupid in that it considers even obviously absurd routes (like going from Boston to Houston via San Francisco and New York, in that order). For very small N it works well, but it rapidly becomes absurdly inefficient when N increases (for N = 15, there are already 1,307,674,368,000 possible routes to consider, and for N = 1000 — well, see [[bu;#fff;;jargon]bignum]). Sometimes, unfortunately, there is no better general solution than brute force. See also [[bu;#fff;;jargon]NP-] and [[bu;#fff;;jargon]rubber-hose cryptanalysis].A more simple-minded example of brute-force programming is finding the smallest number in a large list by first using an existing program to sort the list in ascending order, and then picking the first number off the front.Whether brute-force programming should actually be considered stupid or not depends on the context; if the problem is not terribly big, the extra CPU time spent on a brute-force solution may cost less than the programmer time it would take to develop a more ‘intelligent’ algorithm. Additionally, a more intelligent algorithm may imply more long-term complexity cost and bug-chasing than are justified by the speed improvement.Ken Thompson, co-inventor of Unix, is reported to have uttered the epigram [[i;;]When in doubt, use brute force]. He probably intended this as a [[bu;#fff;;jargon]ha ha only serious], but the original Unix kernel's preference for simple, robust, and portable algorithms over [[bu;#fff;;jargon]brittle] ‘smart’ ones does seem to have been a significant factor in the success of that OS. Like so many other tradeoffs in software design, the choice between brute force and complex, finely-tuned cleverness is often a difficult one that requires both engineering savvy and delicate esthetic judgment."
,"brute force and ignorance","A popular design technique at many software houses — [[bu;#fff;;jargon]brute force] coding unrelieved by any knowledge of how problems have been previously solved in elegant ways. Dogmatic adherence to design methodologies tends to encourage this sort of thing. Characteristic of early [[bu;#fff;;jargon]larval stage] programming; unfortunately, many never outgrow it. Often abbreviated BFI: [[i;;]Gak, they used a bubble sort! That's strictly from BFI.] Compare [[bu;#fff;;jargon]bogosity]. A very similar usage is said to be mainstream in Great Britain."
,BSD,"[abbreviation for ‘Berkeley Software Distribution’] a family of [[bu;#fff;;jargon]Unix] versions for the [[bu;#fff;;jargon]DEC] [[bu;#fff;;jargon]VAX] and [[bu;#fff;;jargon]PDP-11] developed by Bill Joy and others at [[bu;#fff;;jargon]Berzerkeley] starting around 1977, incorporating paged virtual memory, TCP/IP networking enhancements, and many other features. The BSD versions (4.1, 4.2, and 4.3) and the commercial versions derived from them (SunOS, ULTRIX, and Mt. Xinu) held the technical lead in the Unix world until AT&T's successful standardization efforts after about 1986; descendants including Free/Open/NetBSD, BSD/OS and MacOS X are still widely popular. Note that BSD versions going back to 2.9 are often referred to by their version numbers alone, without the BSD prefix. See also [[bu;#fff;;jargon]Unix]."
,BSOD,"Very common abbreviation for [[bu;#fff;;jargon]Blue Screen of Death]. Both spoken and written."
